user_id,gender,age_range,year,month,day,had_drinks,number_of_drinks
5,male,40,2015,1,19,No,0
4,male,40,2015,1,19,No,0
1,male,40,2015,1,19,No,0
19,male,40,2015,1,19,No,0
21,female,30,2015,1,19,No,0
10,female,40,2015,1,19,Yes,1
31,female,40,2015,1,19,No,0
19,male,40,2015,1,20,No,0
10,female,40,2015,1,20,Yes,6
5,male,40,2015,1,20,No,0
4,male,40,2015,1,20,Yes,3
45,female,40,2015,1,20,No,0
21,female,30,2015,1,20,No,0
31,female,40,2015,1,20,No,0
55,female,30,2015,1,20,No,0
15,female,70,2015,1,21,No,0
19,male,40,2015,1,21,No,0
10,female,40,2015,1,21,No,0
5,male,40,2015,1,21,No,0
45,female,40,2015,1,21,No,0
4,male,40,2015,1,21,No,0
69,female,60,2015,1,21,No,0
10,female,40,2015,1,22,Yes,3
19,male,40,2015,1,22,No,0
4,male,40,2015,1,22,Yes,3
5,male,40,2015,1,22,No,0
15,female,70,2015,1,22,No,0
4,male,40,2015,1,23,No,0
5,male,40,2015,1,23,No,0
19,male,40,2015,1,23,No,0
3,male,40,2015,1,23,Yes,4
21,female,30,2015,1,23,No,0
15,female,70,2015,1,23,Yes,1
127,female,30,2015,1,23,Yes,1
126,male,30,2015,1,23,No,0
128,male,40,2015,1,23,Yes,1
125,female,40,2015,1,23,No,0
130,male,40,2015,1,23,No,0
19,male,40,2015,1,24,No,0
130,male,40,2015,1,24,Yes,1
125,female,40,2015,1,24,Yes,1
69,female,60,2015,1,24,Yes,1
138,female,40,2015,1,24,No,0
127,female,30,2015,1,24,No,0
4,male,40,2015,1,24,Yes,1
5,male,40,2015,1,24,No,0
126,male,30,2015,1,24,No,0
19,male,40,2015,1,25,No,0
138,female,40,2015,1,25,No,0
142,female,99,2015,1,25,No,0
127,female,30,2015,1,25,No,0
118,female,40,2015,1,25,No,0
69,female,60,2015,1,25,No,0
117,female,50,2015,1,26,Yes,1
138,female,40,2015,1,26,No,0
10,female,40,2015,1,26,No,0
120,female,60,2015,1,26,No,0
1,male,40,2015,1,26,No,0
127,female,30,2015,1,26,No,0
142,female,99,2015,1,26,No,0
69,female,60,2015,1,26,No,0
126,male,30,2015,1,27,No,0
10,female,40,2015,1,27,No,0
142,female,99,2015,1,27,No,0
156,male,30,2015,1,27,Yes,6
127,female,30,2015,1,27,No,0
15,female,70,2015,1,28,Yes,1
156,male,30,2015,1,28,No,0
10,female,40,2015,1,28,No,0
127,female,30,2015,1,28,No,0
19,male,40,2015,1,28,No,0
15,female,70,2015,1,29,No,0
4,male,40,2015,1,29,No,0
156,male,30,2015,1,29,Yes,2
10,female,40,2015,1,29,No,0
127,female,30,2015,1,29,No,0
84,female,70,2015,1,29,No,0
12,female,30,2015,1,30,Yes,2
15,female,70,2015,1,30,No,0
127,female,30,2015,1,30,No,0
84,female,70,2015,1,30,No,0
69,female,60,2015,1,31,Yes,1
